what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1490361703668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490361725373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490361740974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1490361756084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490361759205
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1490361782402
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1490361786886
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1490361791421
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1490361791644
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1490361798804
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1490361799063
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1490361803309
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1490361803310
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1490361805024
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1490361805041
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1490361809357
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1490361809357
started,bundle,org.eclipse.m2e.editor,1.4.0.20130601-0317,"org.eclipse.m2e.editor",1490361817861
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1490361817989
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1490361818082
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1490361818099
opened,editor,org.eclipse.m2e.editor,1.4.0.20130601-0317,"org.eclipse.m2e.editor.MavenPomEditor",1490361818545
activated,editor,org.eclipse.m2e.editor,1.4.0.20130601-0317,"org.eclipse.m2e.editor.MavenPomEditor",1490361818611
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1490361833167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490361838844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490361843392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490361892292
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490361892328
activated,editor,org.eclipse.m2e.editor,1.4.0.20130601-0317,"org.eclipse.m2e.editor.MavenPomEditor",1490361893617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490361913546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490362081513
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490362081560
activated,editor,org.eclipse.m2e.editor,1.4.0.20130601-0317,"org.eclipse.m2e.editor.MavenPomEditor",1490362082639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490362292885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490362342998
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1490362343026
activated,editor,org.eclipse.m2e.editor,1.4.0.20130601-0317,"org.eclipse.m2e.editor.MavenPomEditor",1490362345186
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1490362381040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490362397942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490362621287
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490362696057
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490362696119
activated,editor,org.eclipse.m2e.editor,1.4.0.20130601-0317,"org.eclipse.m2e.editor.MavenPomEditor",1490362698946
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490362698947
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1490362700151
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490362700422
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490362700476
activated,editor,org.eclipse.m2e.editor,1.4.0.20130601-0317,"org.eclipse.m2e.editor.MavenPomEditor",1490362733131
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1490362783300
closed,editor,org.eclipse.m2e.editor,1.4.0.20130601-0317,"org.eclipse.m2e.editor.MavenPomEditor",1490362783300
